category,product_name,unidades_vendidas,ventas_netas
Personal Care,Digital Scale,32,2752000.0
Home & Office,Notebook Pack,108,3780000.0
Home & Office,Keyboard Compact,30,4140000.0
Personal Care,Electric Shaver,30,5940000.0
Electronics,Bluetooth Speaker,41,6765000.0
Electronics,USB-C Charger,105,8190000.0
Electronics,Smartwatch Active,33,10044000.0
Home & Office,Desk Lamp LED,111,10145760.0
Small Appliances,Coffee Maker Basic,76,10918500.0
Home & Office,Ergonomic Mouse,111,12765000.0
Personal Care,Hair Dryer,103,13460000.0
Small Appliances,Coffee Maker Premium,55,15675000.0
Electronics,Wireless Headphones,101,21874600.0
Small Appliances,Blender 500W,127,22225000.0
Small Appliances,Air Fryer 4L,84,32292000.0
