category,product_name,unidades_vendidas,ventas_netas
Home & Office,Keyboard Compact,2,276000.0
Personal Care,Digital Scale,10,860000.0
Home & Office,Notebook Pack,35,1225000.0
Personal Care,Electric Shaver,7,1386000.0
Electronics,Smartwatch Active,6,1829000.0
Electronics,Bluetooth Speaker,12,1980000.0
Electronics,USB-C Charger,26,2028000.0
Small Appliances,Coffee Maker Basic,24,3480000.0
Home & Office,Desk Lamp LED,42,3841920.0
Home & Office,Ergonomic Mouse,34,3910000.0
Personal Care,Hair Dryer,37,4860000.0
Electronics,Wireless Headphones,25,5368000.0
Small Appliances,Coffee Maker Premium,19,5415000.0
Small Appliances,Blender 500W,46,8050000.0
Small Appliances,Air Fryer 4L,33,12694500.0
